order_id,arrival_time,pick_start,pick_end,pack_start,pack_end
SYN-0000,2026-01-05T08:02:27.622177+00:00,2026-01-05T08:02:27.622177+00:00,2026-01-05T08:07:57.817643+00:00,2026-01-05T08:07:57.817643+00:00,2026-01-05T08:13:16.019088+00:00
SYN-0001,2026-01-05T08:07:56.315013+00:00,2026-01-05T08:07:56.315013+00:00,2026-01-05T08:14:50.046699+00:00,2026-01-05T08:14:50.046699+00:00,2026-01-05T08:23:48.677740+00:00
SYN-0002,2026-01-05T08:18:42.579477+00:00,2026-01-05T08:18:42.579477+00:00,2026-01-05T08:22:03.456237+00:00,2026-01-05T08:22:03.456237+00:00,2026-01-05T08:26:38.179369+00:00
SYN-0003,2026-01-05T08:19:50.972040+00:00,2026-01-05T08:19:50.972040+00:00,2026-01-05T08:23:08.783792+00:00,2026-01-05T08:23:48.677740+00:00,2026-01-05T08:26:52.716694+00:00
SYN-0004,2026-01-05T08:24:41.550721+00:00,2026-01-05T08:24:41.550721+00:00,2026-01-05T08:28:01.205440+00:00,2026-01-05T08:28:01.205440+00:00,2026-01-05T08:35:10.743996+00:00
SYN-0005,2026-01-05T08:28:45.178499+00:00,2026-01-05T08:28:45.178499+00:00,2026-01-05T08:31:33.017353+00:00,2026-01-05T08:31:33.017353+00:00,2026-01-05T08:52:56.085292+00:00
SYN-0006,2026-01-05T08:32:21.755654+00:00,2026-01-05T08:32:21.755654+00:00,2026-01-05T08:37:24.575646+00:00,2026-01-05T08:43:13.794725+00:00,2026-01-05T08:48:52.510018+00:00
SYN-0007,2026-01-05T08:32:45.098836+00:00,2026-01-05T08:32:45.098836+00:00,2026-01-05T08:36:40.493621+00:00,2026-01-05T08:36:40.493621+00:00,2026-01-05T08:43:13.794725+00:00
SYN-0008,2026-01-05T08:32:50.560081+00:00,2026-01-05T08:36:40.493621+00:00,2026-01-05T08:42:51.144403+00:00,2026-01-05T08:48:52.510018+00:00,2026-01-05T08:53:01.587301+00:00
SYN-0009,2026-01-05T08:34:27.517305+00:00,2026-01-05T08:37:24.575646+00:00,2026-01-05T08:44:24.262958+00:00,2026-01-05T08:52:56.085292+00:00,2026-01-05T08:58:02.116099+00:00
SYN-0010,2026-01-05T08:39:01.912928+00:00,2026-01-05T08:42:51.144403+00:00,2026-01-05T08:45:05.535107+00:00,2026-01-05T08:53:01.587301+00:00,2026-01-05T08:58:00.800133+00:00
SYN-0011,2026-01-05T08:40:00.086026+00:00,2026-01-05T08:44:24.262958+00:00,2026-01-05T08:49:18.466855+00:00,2026-01-05T08:58:00.800133+00:00,2026-01-05T09:06:53.966887+00:00
SYN-0012,2026-01-05T08:42:19.357560+00:00,2026-01-05T08:45:05.535107+00:00,2026-01-05T08:50:26.366646+00:00,2026-01-05T08:58:02.116099+00:00,2026-01-05T09:02:02.533910+00:00
SYN-0013,2026-01-05T08:43:35.737090+00:00,2026-01-05T08:49:18.466855+00:00,2026-01-05T08:53:29.957938+00:00,2026-01-05T09:02:02.533910+00:00,2026-01-05T09:07:19.600839+00:00
SYN-0014,2026-01-05T08:49:50.323805+00:00,2026-01-05T08:50:26.366646+00:00,2026-01-05T08:53:34.674516+00:00,2026-01-05T09:06:53.966887+00:00,2026-01-05T09:16:29.480484+00:00
SYN-0015,2026-01-05T08:59:31.114614+00:00,2026-01-05T08:59:31.114614+00:00,2026-01-05T09:05:58.610435+00:00,2026-01-05T09:16:29.480484+00:00,2026-01-05T09:22:15.091061+00:00
SYN-0016,2026-01-05T09:01:13.810755+00:00,2026-01-05T09:01:13.810755+00:00,2026-01-05T09:03:12.109232+00:00,2026-01-05T09:07:19.600839+00:00,2026-01-05T09:19:00.377915+00:00
SYN-0017,2026-01-05T09:22:47.324757+00:00,2026-01-05T09:22:47.324757+00:00,2026-01-05T09:31:38.427601+00:00,2026-01-05T09:31:38.427601+00:00,2026-01-05T09:35:40.694359+00:00
SYN-0018,2026-01-05T09:23:00.166934+00:00,2026-01-05T09:23:00.166934+00:00,2026-01-05T09:25:55.476090+00:00,2026-01-05T09:25:55.476090+00:00,2026-01-05T09:32:35.848054+00:00
SYN-0019,2026-01-05T09:28:35.078522+00:00,2026-01-05T09:28:35.078522+00:00,2026-01-05T09:32:00.573707+00:00,2026-01-05T09:32:35.848054+00:00,2026-01-05T09:42:25.812951+00:00
SYN-0020,2026-01-05T09:35:31.473876+00:00,2026-01-05T09:35:31.473876+00:00,2026-01-05T09:42:56.026029+00:00,2026-01-05T09:42:56.026029+00:00,2026-01-05T09:51:29.892126+00:00
SYN-0021,2026-01-05T09:36:04.193185+00:00,2026-01-05T09:36:04.193185+00:00,2026-01-05T09:48:04.737771+00:00,2026-01-05T09:48:04.737771+00:00,2026-01-05T09:58:43.236793+00:00
SYN-0022,2026-01-05T09:40:08.735044+00:00,2026-01-05T09:42:56.026029+00:00,2026-01-05T09:48:07.057041+00:00,2026-01-05T09:51:29.892126+00:00,2026-01-05T10:00:45.840735+00:00
SYN-0023,2026-01-05T09:42:52.428091+00:00,2026-01-05T09:48:04.737771+00:00,2026-01-05T09:52:20.968651+00:00,2026-01-05T09:58:43.236793+00:00,2026-01-05T10:08:41.723681+00:00
SYN-0024,2026-01-05T09:53:13.483340+00:00,2026-01-05T09:53:13.483340+00:00,2026-01-05T09:55:40.410019+00:00,2026-01-05T10:00:45.840735+00:00,2026-01-05T10:07:28.889659+00:00
SYN-0025,2026-01-05T09:54:00.630341+00:00,2026-01-05T09:54:00.630341+00:00,2026-01-05T10:00:52.015111+00:00,2026-01-05T10:07:28.889659+00:00,2026-01-05T10:10:24.827061+00:00
SYN-0026,2026-01-05T09:56:35.920165+00:00,2026-01-05T09:56:35.920165+00:00,2026-01-05T10:01:06.089870+00:00,2026-01-05T10:08:41.723681+00:00,2026-01-05T10:18:10.086726+00:00
SYN-0027,2026-01-05T10:03:44.108856+00:00,2026-01-05T10:03:44.108856+00:00,2026-01-05T10:06:54.763930+00:00,2026-01-05T10:10:24.827061+00:00,2026-01-05T10:14:18.917951+00:00
SYN-0028,2026-01-05T10:07:07.758698+00:00,2026-01-05T10:07:07.758698+00:00,2026-01-05T10:10:36.457953+00:00,2026-01-05T10:14:18.917951+00:00,2026-01-05T10:20:15.991249+00:00
SYN-0029,2026-01-05T10:08:21.739549+00:00,2026-01-05T10:08:21.739549+00:00,2026-01-05T10:12:25.569776+00:00,2026-01-05T10:18:10.086726+00:00,2026-01-05T10:22:47.290387+00:00
SYN-0030,2026-01-05T10:08:38.821467+00:00,2026-01-05T10:10:36.457953+00:00,2026-01-05T10:16:06.268291+00:00,2026-01-05T10:20:15.991249+00:00,2026-01-05T10:25:56.633896+00:00
SYN-0031,2026-01-05T10:18:00.758490+00:00,2026-01-05T10:18:00.758490+00:00,2026-01-05T10:26:54.263763+00:00,2026-01-05T10:26:54.263763+00:00,2026-01-05T10:38:42.345879+00:00
